AG1478	AZD6244	Erlotinib	Fascaplysin	GSK2126458	GSK650394	Lapatinib	PF-4691502	Pemetrexed	Rapamycin	drug1	drug2	drug3	drug4	drug5	drug6	drug7
HCC1395	-0.540263469276	-0.584967340024	-0.502370756729	-0.585903041069	-0.995818662326	-0.655481966069	-0.646259799047	0.246408909002	-0.567035283887	-1.31088576084	-0.457873275071	0.362397199713	0.0836158894164	-1.26386743627	1.01899203244	-0.515863789359	0.796248540964
HCC1419	1.28970772105	-0.228296077272	0.469866120823	-0.365439524763	2.14898081392	-0.655481966069	2.49412468208	1.19126931898	-0.567035283887	1.16342046019	NA	-2.61443694079	0.948471361013	-0.410648087789	NA	NA	NA
HCC1428	-0.922799819796	-0.714665981025	-0.183128796936	1.71671590702	-0.619022411716	-0.655481966069	-0.646259799047	-0.614088964375	-0.567035283887	0.41128760323	-0.21427077259	0.113173876322	-0.314672814608	-0.0906908321089	NA	-0.884941980575	-2.73371260736
HCC1569	0.607345582283	-0.714665981025	-0.139595802419	-0.97783818117	-0.358163468986	-0.655481966069	0.537819595478	-0.158531266705	-0.567035283887	-0.00343985995429	-0.896357779536	NA	-0.348811846382	-0.458049162704	-1.29048191675	0.165511332886	-0.509992588812
HCC1806	-0.0440000956286	-0.714665981025	0.716553089754	-0.340943578506	-0.662498902171	-0.655481966069	-0.646259799047	-0.749069022944	1.76034834401	-1.89431592091	-0.945078280032	0.279322758583	-0.155357332998	-0.410648087789	0.472909522286	0.619761414382	0.656294134202
HCC1937	0.224809231764	-0.714665981025	-0.676502734798	-0.78187061112	-0.619022411716	-0.0858565799386	-0.646259799047	0.077683835791	-0.14387462427	-0.558752903879	-1.06687953127	NA	1.39227877407	-0.754305880927	-1.02881738063	-0.231957488424	-0.883204340176
HCC1954	1.00022075309	0.949799911819	0.977751056857	-0.389935471019	0.0621092720785	-0.0858565799386	0.726585875765	0.0101938065065	-0.567035283887	1.22668397153	-0.871997529288	0.736232184799	NA	-0.18549298194	NA	0.733323934756	0.609642665281
HCC202	1.11394777621	NA	1.0067730532	1.56974022949	1.81566105376	NA	1.65325670626	NA	1.13883112519	1.07906911175	NA	NA	0.834674588434	1.8409029707	0.381895770594	0.591370784288	1.54267204369
HCC2185	-0.106033017335	-0.714665981025	-0.241172789626	0.418430755439	0.0621092720785	-0.655481966069	-0.646259799047	0.415133982213	-0.567035283887	1.46567945878	1.02810199006	0.750077924987	-0.712961518633	0.383319917047	NA	0.932058345411	0.625193154922
HCC3153	-0.922799819796	-0.714665981025	-0.531392753074	-0.438927363532	-0.894373517931	-0.0858565799386	-0.646259799047	-3.38118016504	-0.567035283887	-1.02268532032	-1.04251928102	-0.0391292657497	1.39227877407	-0.766156149656	-0.300707367096	-0.544254419452	0.671844623842
HCC38	-0.798733976384	-0.714665981025	-1.01025569276	-0.414431417275	-0.561053757776	-0.0858565799386	-0.646259799047	-0.614088964375	-0.567035283887	0.425346161304	NA	0.00240795481537	NA	-0.161792444482	0.438779365401	0.676542674569	0.314183362118
